STATION,STATION_NAME,DATE,TAVG
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981002,58
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981003,56
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981004,56
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981005,63
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981006,55
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981007,58
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981008,67
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981009,62
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981010,60
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981011,66
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981012,61
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981013,60
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981014,61
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981015,58
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981016,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981017,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981018,66
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981019,67
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981020,61
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981021,53
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981022,49
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981023,54
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981024,64
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981025,66
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981026,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981027,57
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981028,57
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981029,53
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981030,52
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981031,52
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981101,52
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981102,51
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981103,47
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981104,44
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981105,45
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981106,42
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981107,46
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981108,47
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981109,50
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981110,50
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981111,57
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981112,50
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981113,52
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981114,51
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981115,55
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981116,49
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981117,48
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981118,44
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981119,47
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981120,55
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981121,47
